Emotions,Path
surprise,./Audio_Speech_Actors_01-24/Actor_03/03-01-08-02-02-01-03.wav
neutral,./Audio_Speech_Actors_01-24/Actor_03/03-01-01-01-02-02-03.wav
calm,./Audio_Speech_Actors_01-24/Actor_03/03-01-02-01-02-01-03.wav
calm,./Audio_Speech_Actors_01-24/Actor_03/03-01-02-02-01-01-03.wav
happy,./Audio_Speech_Actors_01-24/Actor_03/03-01-03-01-01-02-03.wav
happy,./Audio_Speech_Actors_01-24/Actor_03/03-01-03-02-02-02-03.wav
calm,./Audio_Speech_Actors_01-24/Actor_03/03-01-02-01-01-02-03.wav
neutral,./Audio_Speech_Actors_01-24/Actor_03/03-01-01-01-01-01-03.wav
calm,./Audio_Speech_Actors_01-24/Actor_03/03-01-02-02-02-02-03.wav
happy,./Audio_Speech_Actors_01-24/Actor_03/03-01-03-01-02-01-03.wav
happy,./Audio_Speech_Actors_01-24/Actor_03/03-01-03-02-01-01-03.wav
disgust,./Audio_Speech_Actors_01-24/Actor_03/03-01-07-02-01-02-03.wav
sad,./Audio_Speech_Actors_01-24/Actor_03/03-01-04-02-01-01-03.wav
sad,./Audio_Speech_Actors_01-24/Actor_03/03-01-04-01-02-01-03.wav
disgust,./Audio_Speech_Actors_01-24/Actor_03/03-01-07-01-02-02-03.wav
angry,./Audio_Speech_Actors_01-24/Actor_03/03-01-05-02-02-02-03.wav
fear,./Audio_Speech_Actors_01-24/Actor_03/03-01-06-02-02-01-03.wav
fear,./Audio_Speech_Actors_01-24/Actor_03/03-01-06-01-01-01-03.wav
angry,./Audio_Speech_Actors_01-24/Actor_03/03-01-05-01-01-02-03.wav
surprise,./Audio_Speech_Actors_01-24/Actor_03/03-01-08-01-02-02-03.wav
surprise,./Audio_Speech_Actors_01-24/Actor_03/03-01-08-02-01-02-03.wav
happy,./Audio_Speech_Actors_01-24/Actor_03/03-01-03-02-02-01-03.wav
happy,./Audio_Speech_Actors_01-24/Actor_03/03-01-03-01-01-01-03.wav
calm,./Audio_Speech_Actors_01-24/Actor_03/03-01-02-02-01-02-03.wav
calm,./Audio_Speech_Actors_01-24/Actor_03/03-01-02-01-02-02-03.wav
neutral,./Audio_Speech_Actors_01-24/Actor_03/03-01-01-01-02-01-03.wav
fear,./Audio_Speech_Actors_01-24/Actor_03/03-01-06-01-02-01-03.wav
angry,./Audio_Speech_Actors_01-24/Actor_03/03-01-05-01-02-02-03.wav
angry,./Audio_Speech_Actors_01-24/Actor_03/03-01-05-02-01-02-03.wav
fear,./Audio_Speech_Actors_01-24/Actor_03/03-01-06-02-01-01-03.wav
sad,./Audio_Speech_Actors_01-24/Actor_03/03-01-04-01-01-01-03.wav
disgust,./Audio_Speech_Actors_01-24/Actor_03/03-01-07-01-01-02-03.wav
disgust,./Audio_Speech_Actors_01-24/Actor_03/03-01-07-02-02-02-03.wav
sad,./Audio_Speech_Actors_01-24/Actor_03/03-01-04-02-02-01-03.wav
surprise,./Audio_Speech_Actors_01-24/Actor_03/03-01-08-02-02-02-03.wav
surprise,./Audio_Speech_Actors_01-24/Actor_03/03-01-08-01-01-02-03.wav
angry,./Audio_Speech_Actors_01-24/Actor_03/03-01-05-01-01-01-03.wav
fear,./Audio_Speech_Actors_01-24/Actor_03/03-01-06-01-01-02-03.wav
fear,./Audio_Speech_Actors_01-24/Actor_03/03-01-06-02-02-02-03.wav
angry,./Audio_Speech_Actors_01-24/Actor_03/03-01-05-02-02-01-03.wav
disgust,./Audio_Speech_Actors_01-24/Actor_03/03-01-07-01-02-01-03.wav
sad,./Audio_Speech_Actors_01-24/Actor_03/03-01-04-01-02-02-03.wav
sad,./Audio_Speech_Actors_01-24/Actor_03/03-01-04-02-01-02-03.wav
disgust,./Audio_Speech_Actors_01-24/Actor_03/03-01-07-02-01-01-03.wav
surprise,./Audio_Speech_Actors_01-24/Actor_03/03-01-08-02-01-01-03.wav
surprise,./Audio_Speech_Actors_01-24/Actor_03/03-01-08-01-02-01-03.wav
happy,./Audio_Speech_Actors_01-24/Actor_03/03-01-03-02-01-02-03.wav
happy,./Audio_Speech_Actors_01-24/Actor_03/03-01-03-01-02-02-03.wav
calm,./Audio_Speech_Actors_01-24/Actor_03/03-01-02-02-02-01-03.wav
neutral,./Audio_Speech_Actors_01-24/Actor_03/03-01-01-01-01-02-03.wav
calm,./Audio_Speech_Actors_01-24/Actor_03/03-01-02-01-01-01-03.wav
happy,./Audio_Speech_Actors_01-24/Actor_04/03-01-03-02-02-02-04.wav
happy,./Audio_Speech_Actors_01-24/Actor_04/03-01-03-01-01-02-04.wav
calm,./Audio_Speech_Actors_01-24/Actor_04/03-01-02-02-01-01-04.wav
neutral,./Audio_Speech_Actors_01-24/Actor_04/03-01-01-01-02-02-04.wav
calm,./Audio_Speech_Actors_01-24/Actor_04/03-01-02-01-02-01-04.wav
angry,./Audio_Speech_Actors_01-24/Actor_04/03-01-05-01-02-01-04.wav
fear,./Audio_Speech_Actors_01-24/Actor_04/03-01-06-01-02-02-04.wav
fear,./Audio_Speech_Actors_01-24/Actor_04/03-01-06-02-01-02-04.wav
angry,./Audio_Speech_Actors_01-24/Actor_04/03-01-05-02-01-01-04.wav
disgust,./Audio_Speech_Actors_01-24/Actor_04/03-01-07-01-01-01-04.wav
sad,./Audio_Speech_Actors_01-24/Actor_04/03-01-04-01-01-02-04.wav
sad,./Audio_Speech_Actors_01-24/Actor_04/03-01-04-02-02-02-04.wav
disgust,./Audio_Speech_Actors_01-24/Actor_04/03-01-07-02-02-01-04.wav
surprise,./Audio_Speech_Actors_01-24/Actor_04/03-01-08-02-02-01-04.wav
surprise,./Audio_Speech_Actors_01-24/Actor_04/03-01-08-01-01-01-04.wav
fear,./Audio_Speech_Actors_01-24/Actor_04/03-01-06-01-01-01-04.wav
angry,./Audio_Speech_Actors_01-24/Actor_04/03-01-05-01-01-02-04.wav
angry,./Audio_Speech_Actors_01-24/Actor_04/03-01-05-02-02-02-04.wav
fear,./Audio_Speech_Actors_01-24/Actor_04/03-01-06-02-02-01-04.wav
sad,./Audio_Speech_Actors_01-24/Actor_04/03-01-04-01-02-01-04.wav
disgust,./Audio_Speech_Actors_01-24/Actor_04/03-01-07-01-02-02-04.wav
disgust,./Audio_Speech_Actors_01-24/Actor_04/03-01-07-02-01-02-04.wav
sad,./Audio_Speech_Actors_01-24/Actor_04/03-01-04-02-01-01-04.wav
surprise,./Audio_Speech_Actors_01-24/Actor_04/03-01-08-02-01-02-04.wav
surprise,./Audio_Speech_Actors_01-24/Actor_04/03-01-08-01-02-02-04.wav
happy,./Audio_Speech_Actors_01-24/Actor_04/03-01-03-02-01-01-04.wav
happy,./Audio_Speech_Actors_01-24/Actor_04/03-01-03-01-02-01-04.wav
calm,./Audio_Speech_Actors_01-24/Actor_04/03-01-02-02-02-02-04.wav
calm,./Audio_Speech_Actors_01-24/Actor_04/03-01-02-01-01-02-04.wav
neutral,./Audio_Speech_Actors_01-24/Actor_04/03-01-01-01-01-01-04.wav
disgust,./Audio_Speech_Actors_01-24/Actor_04/03-01-07-02-02-02-04.wav
sad,./Audio_Speech_Actors_01-24/Actor_04/03-01-04-02-02-01-04.wav
sad,./Audio_Speech_Actors_01-24/Actor_04/03-01-04-01-01-01-04.wav
disgust,./Audio_Speech_Actors_01-24/Actor_04/03-01-07-01-01-02-04.wav
angry,./Audio_Speech_Actors_01-24/Actor_04/03-01-05-02-01-02-04.wav
fear,./Audio_Speech_Actors_01-24/Actor_04/03-01-06-02-01-01-04.wav
fear,./Audio_Speech_Actors_01-24/Actor_04/03-01-06-01-02-01-04.wav
angry,./Audio_Speech_Actors_01-24/Actor_04/03-01-05-01-02-02-04.wav
surprise,./Audio_Speech_Actors_01-24/Actor_04/03-01-08-01-01-02-04.wav
surprise,./Audio_Speech_Actors_01-24/Actor_04/03-01-08-02-02-02-04.wav
calm,./Audio_Speech_Actors_01-24/Actor_04/03-01-02-01-02-02-04.wav
neutral,./Audio_Speech_Actors_01-24/Actor_04/03-01-01-01-02-01-04.wav
calm,./Audio_Speech_Actors_01-24/Actor_04/03-01-02-02-01-02-04.wav
happy,./Audio_Speech_Actors_01-24/Actor_04/03-01-03-01-01-01-04.wav
happy,./Audio_Speech_Actors_01-24/Actor_04/03-01-03-02-02-01-04.wav
neutral,./Audio_Speech_Actors_01-24/Actor_04/03-01-01-01-01-02-04.wav
calm,./Audio_Speech_Actors_01-24/Actor_04/03-01-02-01-01-01-04.wav
calm,./Audio_Speech_Actors_01-24/Actor_04/03-01-02-02-02-01-04.wav
happy,./Audio_Speech_Actors_01-24/Actor_04/03-01-03-01-02-02-04.wav
happy,./Audio_Speech_Actors_01-24/Actor_04/03-01-03-02-01-02-04.wav
sad,./Audio_Speech_Actors_01-24/Actor_04/03-01-04-02-01-02-04.wav
disgust,./Audio_Speech_Actors_01-24/Actor_04/03-01-07-02-01-01-04.wav
disgust,./Audio_Speech_Actors_01-24/Actor_04/03-01-07-01-02-01-04.wav
sad,./Audio_Speech_Actors_01-24/Actor_04/03-01-04-01-02-02-04.wav
fear,./Audio_Speech_Actors_01-24/Actor_04/03-01-06-02-02-02-04.wav
angry,./Audio_Speech_Actors_01-24/Actor_04/03-01-05-02-02-01-04.wav
angry,./Audio_Speech_Actors_01-24/Actor_04/03-01-05-01-01-01-04.wav
fear,./Audio_Speech_Actors_01-24/Actor_04/03-01-06-01-01-02-04.wav
surprise,./Audio_Speech_Actors_01-24/Actor_04/03-01-08-01-02-01-04.wav
surprise,./Audio_Speech_Actors_01-24/Actor_04/03-01-08-02-01-01-04.wav
calm,./Audio_Speech_Actors_01-24/Actor_05/03-01-02-01-02-01-05.wav
neutral,./Audio_Speech_Actors_01-24/Actor_05/03-01-01-01-02-02-05.wav
calm,./Audio_Speech_Actors_01-24/Actor_05/03-01-02-02-01-01-05.wav
happy,./Audio_Speech_Actors_01-24/Actor_05/03-01-03-01-01-02-05.wav
happy,./Audio_Speech_Actors_01-24/Actor_05/03-01-03-02-02-02-05.wav
disgust,./Audio_Speech_Actors_01-24/Actor_05/03-01-07-02-02-01-05.wav
sad,./Audio_Speech_Actors_01-24/Actor_05/03-01-04-02-02-02-05.wav
sad,./Audio_Speech_Actors_01-24/Actor_05/03-01-04-01-01-02-05.wav
disgust,./Audio_Speech_Actors_01-24/Actor_05/03-01-07-01-01-01-05.wav
angry,./Audio_Speech_Actors_01-24/Actor_05/03-01-05-02-01-01-05.wav
fear,./Audio_Speech_Actors_01-24/Actor_05/03-01-06-02-01-02-05.wav
fear,./Audio_Speech_Actors_01-24/Actor_05/03-01-06-01-02-02-05.wav
angry,./Audio_Speech_Actors_01-24/Actor_05/03-01-05-01-02-01-05.wav
surprise,./Audio_Speech_Actors_01-24/Actor_05/03-01-08-01-01-01-05.wav
surprise,./Audio_Speech_Actors_01-24/Actor_05/03-01-08-02-02-01-05.wav
sad,./Audio_Speech_Actors_01-24/Actor_05/03-01-04-02-01-01-05.wav
disgust,./Audio_Speech_Actors_01-24/Actor_05/03-01-07-02-01-02-05.wav
disgust,./Audio_Speech_Actors_01-24/Actor_05/03-01-07-01-02-02-05.wav
sad,./Audio_Speech_Actors_01-24/Actor_05/03-01-04-01-02-01-05.wav
fear,./Audio_Speech_Actors_01-24/Actor_05/03-01-06-02-02-01-05.wav
angry,./Audio_Speech_Actors_01-24/Actor_05/03-01-05-02-02-02-05.wav
angry,./Audio_Speech_Actors_01-24/Actor_05/03-01-05-01-01-02-05.wav
fear,./Audio_Speech_Actors_01-24/Actor_05/03-01-06-01-01-01-05.wav
surprise,./Audio_Speech_Actors_01-24/Actor_05/03-01-08-01-02-02-05.wav
surprise,./Audio_Speech_Actors_01-24/Actor_05/03-01-08-02-01-02-05.wav
neutral,./Audio_Speech_Actors_01-24/Actor_05/03-01-01-01-01-01-05.wav
calm,./Audio_Speech_Actors_01-24/Actor_05/03-01-02-01-01-02-05.wav
calm,./Audio_Speech_Actors_01-24/Actor_05/03-01-02-02-02-02-05.wav
happy,./Audio_Speech_Actors_01-24/Actor_05/03-01-03-01-02-01-05.wav
happy,./Audio_Speech_Actors_01-24/Actor_05/03-01-03-02-01-01-05.wav
angry,./Audio_Speech_Actors_01-24/Actor_05/03-01-05-01-02-02-05.wav
fear,./Audio_Speech_Actors_01-24/Actor_05/03-01-06-01-02-01-05.wav
fear,./Audio_Speech_Actors_01-24/Actor_05/03-01-06-02-01-01-05.wav
angry,./Audio_Speech_Actors_01-24/Actor_05/03-01-05-02-01-02-05.wav
disgust,./Audio_Speech_Actors_01-24/Actor_05/03-01-07-01-01-02-05.wav
sad,./Audio_Speech_Actors_01-24/Actor_05/03-01-04-01-01-01-05.wav
sad,./Audio_Speech_Actors_01-24/Actor_05/03-01-04-02-02-01-05.wav
disgust,./Audio_Speech_Actors_01-24/Actor_05/03-01-07-02-02-02-05.wav
surprise,./Audio_Speech_Actors_01-24/Actor_05/03-01-08-02-02-02-05.wav
surprise,./Audio_Speech_Actors_01-24/Actor_05/03-01-08-01-01-02-05.wav
happy,./Audio_Speech_Actors_01-24/Actor_05/03-01-03-02-02-01-05.wav
happy,./Audio_Speech_Actors_01-24/Actor_05/03-01-03-01-01-01-05.wav
calm,./Audio_Speech_Actors_01-24/Actor_05/03-01-02-02-01-02-05.wav
neutral,./Audio_Speech_Actors_01-24/Actor_05/03-01-01-01-02-01-05.wav
calm,./Audio_Speech_Actors_01-24/Actor_05/03-01-02-01-02-02-05.wav
happy,./Audio_Speech_Actors_01-24/Actor_05/03-01-03-02-01-02-05.wav
happy,./Audio_Speech_Actors_01-24/Actor_05/03-01-03-01-02-02-05.wav
calm,./Audio_Speech_Actors_01-24/Actor_05/03-01-02-02-02-01-05.wav
calm,./Audio_Speech_Actors_01-24/Actor_05/03-01-02-01-01-01-05.wav
neutral,./Audio_Speech_Actors_01-24/Actor_05/03-01-01-01-01-02-05.wav
fear,./Audio_Speech_Actors_01-24/Actor_05/03-01-06-01-01-02-05.wav
angry,./Audio_Speech_Actors_01-24/Actor_05/03-01-05-01-01-01-05.wav
angry,./Audio_Speech_Actors_01-24/Actor_05/03-01-05-02-02-01-05.wav
fear,./Audio_Speech_Actors_01-24/Actor_05/03-01-06-02-02-02-05.wav
sad,./Audio_Speech_Actors_01-24/Actor_05/03-01-04-01-02-02-05.wav
disgust,./Audio_Speech_Actors_01-24/Actor_05/03-01-07-01-02-01-05.wav
disgust,./Audio_Speech_Actors_01-24/Actor_05/03-01-07-02-01-01-05.wav
sad,./Audio_Speech_Actors_01-24/Actor_05/03-01-04-02-01-02-05.wav
surprise,./Audio_Speech_Actors_01-24/Actor_05/03-01-08-02-01-01-05.wav
surprise,./Audio_Speech_Actors_01-24/Actor_05/03-01-08-01-02-01-05.wav
neutral,./Audio_Speech_Actors_01-24/Actor_06/03-01-01-01-02-02-06.wav
calm,./Audio_Speech_Actors_01-24/Actor_06/03-01-02-01-02-01-06.wav
calm,./Audio_Speech_Actors_01-24/Actor_06/03-01-02-02-01-01-06.wav
happy,./Audio_Speech_Actors_01-24/Actor_06/03-01-03-01-01-02-06.wav
happy,./Audio_Speech_Actors_01-24/Actor_06/03-01-03-02-02-02-06.wav
surprise,./Audio_Speech_Actors_01-24/Actor_06/03-01-08-01-01-01-06.wav
surprise,./Audio_Speech_Actors_01-24/Actor_06/03-01-08-02-02-01-06.wav
sad,./Audio_Speech_Actors_01-24/Actor_06/03-01-04-02-02-02-06.wav
disgust,./Audio_Speech_Actors_01-24/Actor_06/03-01-07-02-02-01-06.wav
disgust,./Audio_Speech_Actors_01-24/Actor_06/03-01-07-01-01-01-06.wav
sad,./Audio_Speech_Actors_01-24/Actor_06/03-01-04-01-01-02-06.wav
fear,./Audio_Speech_Actors_01-24/Actor_06/03-01-06-02-01-02-06.wav
angry,./Audio_Speech_Actors_01-24/Actor_06/03-01-05-02-01-01-06.wav
angry,./Audio_Speech_Actors_01-24/Actor_06/03-01-05-01-02-01-06.wav
fear,./Audio_Speech_Actors_01-24/Actor_06/03-01-06-01-02-02-06.wav
surprise,./Audio_Speech_Actors_01-24/Actor_06/03-01-08-01-02-02-06.wav
surprise,./Audio_Speech_Actors_01-24/Actor_06/03-01-08-02-01-02-06.wav
disgust,./Audio_Speech_Actors_01-24/Actor_06/03-01-07-02-01-02-06.wav
sad,./Audio_Speech_Actors_01-24/Actor_06/03-01-04-02-01-01-06.wav
sad,./Audio_Speech_Actors_01-24/Actor_06/03-01-04-01-02-01-06.wav
disgust,./Audio_Speech_Actors_01-24/Actor_06/03-01-07-01-02-02-06.wav
angry,./Audio_Speech_Actors_01-24/Actor_06/03-01-05-02-02-02-06.wav
